"age","date","population_thousand","workingpop_thousand","employed_thousand","unemployed_thousand","nonworkingpop_thousand","involvement_rate","unemployment_rate","employment_rate"
"15-19","1999/06/01","3934","430","332","98","3504","10.9","22.8","8.4"
"15-19","1999/07/01","3925","519","396","124","3406","13.2","23.9","10.1"
"15-19","1999/08/01","3912","452","370","82","3460","11.6","18.1","9.5"
"15-19","1999/09/01","3899","430","371","59","3469","11","13.7","9.5"
"15-19","1999/10/01","3885","426","370","56","3459","11","13.1","9.5"
"15-19","1999/11/01","3872","428","369","59","3444","11.1","13.8","9.5"
"15-19","1999/12/01","3859","499","403","95","3360","12.9","19","10.4"
"15-19","2000/01/01","3848","539","433","106","3309","14","19.7","11.3"
"15-19","2000/02/01","3835","504","429","76","3331","13.1","15.1","11.2"
"15-19","2000/03/01","3821","421","355","66","3400","11","15.7","9.3"
"15-19","2000/04/01","3809","408","348","61","3400","10.7","15","9.1"
"15-19","2000/05/01","3796","423","371","53","3373","11.1","12.5","9.8"
"15-19","2000/06/01","3784","409","355","53","3375","10.8","13","9.4"
"15-19","2000/07/01","3768","528","443","85","3241","14","16.1","11.8"
"15-19","2000/08/01","3750","486","419","67","3264","13","13.8","11.2"
"15-19","2000/09/01","3731","413","360","53","3318","11.1","12.8","9.6"
"15-19","2000/10/01","3712","416","371","45","3296","11.2","10.8","10"
"15-19","2000/11/01","3693","429","384","45","3264","11.6","10.5","10.4"
"15-19","2000/12/01","3675","475","396","80","3199","12.9","16.8","10.8"
"15-19","2001/01/01","3654","494","413","81","3160","13.5","16.4","11.3"
"15-19","2001/02/01","3635","448","363","84","3188","12.3","18.8","10"
"15-19","2001/03/01","3617","426","343","83","3191","11.8","19.5","9.5"
"15-19","2001/04/01","3598","417","354","64","3180","11.6","15.3","9.8"
"15-19","2001/05/01","3579","401","352","50","3178","11.2","12.5","9.8"
"15-19","2001/06/01","3561","399","342","57","3162","11.2","14.3","9.6"
"15-19","2001/07/01","3543","485","418","68","3057","13.7","14","11.8"
"15-19","2001/08/01","3524","419","373","45","3105","11.9","10.7","10.6"
"15-19","2001/09/01","3505","360","315","45","3145","10.3","12.5","9"
"15-19","2001/10/01","3486","365","326","39","3121","10.5","10.7","9.4"
"15-19","2001/11/01","3468","378","340","38","3090","10.9","10.1","9.8"
"15-19","2001/12/01","3448","418","353","65","3030","12.1","15.6","10.2"
"15-19","2002/01/01","3431","486","414","72","2945","14.2","14.8","12.1"
"15-19","2002/02/01","3413","430","373","57","2983","12.6","13.3","10.9"
"15-19","2002/03/01","3395","352","303","49","3043","10.4","13.9","8.9"
"15-19","2002/04/01","3377","357","310","46","3020","10.6","12.9","9.2"
"15-19","2002/05/01","3358","346","313","33","3012","10.3","9.5","9.3"
"15-19","2002/06/01","3340","324","289","35","3016","9.7","10.8","8.7"
"15-19","2002/07/01","3324","416","363","53","2909","12.5","12.7","10.9"
"15-19","2002/08/01","3309","375","337","38","2934","11.3","10.1","10.2"
"15-19","2002/09/01","3294","291","265","26","3003","8.8","8.9","8"
"15-19","2002/10/01","3280","287","260","27","2992","8.8","9.4","7.9"
"15-19","2002/11/01","3264","288","255","34","2976","8.8","11.8","7.8"
"15-19","2002/12/01","3249","314","271","43","2935","9.7","13.7","8.3"
"15-19","2003/01/01","3235.8","380.6","329.6","51","2855.2","11.8","13.4","10.2"
"15-19","2003/02/01","3221.5","344.7","302.5","42.2","2876.8","10.7","12.2","9.4"
"15-19","2003/03/01","3207.1","276.4","243","33.4","2930.7","8.6","12.1","7.6"
"15-19","2003/04/01","3193.1","275.1","248.1","27","2918","8.6","9.8","7.8"
"15-19","2003/05/01","3179.3","267","241.9","25.2","2912.2","8.4","9.4","7.6"
"15-19","2003/06/01","3164.9","289.1","245.1","43.9","2875.8","9.1","15.2","7.7"
"15-19","2003/07/01","3153.4","386.5","324.4","62.2","2766.9","12.3","16.1","10.3"
"15-19","2003/08/01","3143.6","339.1","306.4","32.7","2804.5","10.8","9.6","9.7"
"15-19","2003/09/01","3134.1","264.3","237.1","27.3","2869.7","8.4","10.3","7.6"
"15-19","2003/10/01","3124.6","275.9","240.7","35.2","2848.8","8.8","12.8","7.7"
"15-19","2003/11/01","3115","293.2","246.9","46.3","2821.8","9.4","15.8","7.9"
"15-19","2003/12/01","3105.7","354.2","294.9","59.3","2751.5","11.4","16.7","9.5"
"15-19","2004/01/01","3098.7","398.5","331","67.5","2700.3","12.9","16.9","10.7"
"15-19","2004/02/01","3092.8","329.4","280.6","48.8","2763.4","10.7","14.8","9.1"
"15-19","2004/03/01","3086.9","269.5","222.9","46.5","2817.5","8.7","17.3","7.2"
"15-19","2004/04/01","3081","251.1","218.6","32.5","2829.9","8.1","12.9","7.1"
"15-19","2004/05/01","3075.1","264.7","235.6","29.1","2810.4","8.6","11","7.7"
"15-19","2004/06/01","3069.6","282.3","231.2","51.1","2787.2","9.2","18.1","7.5"
"15-19","2004/07/01","3065.4","371","312.2","58.9","2694.4","12.1","15.9","10.2"
"15-19","2004/08/01","3062","289.1","259.9","29.2","2772.9","9.4","10.1","8.5"
"15-19","2004/09/01","3058.5","286.7","263","23.8","2771.8","9.4","8.3","8.6"
"15-19","2004/10/01","3055.1","276","247.4","28.6","2779.1","9","10.4","8.1"
"15-19","2004/11/01","3051.3","266","235.1","30.9","2785.4","8.7","11.6","7.7"
"15-19","2004/12/01","3047.5","321.8","260.1","61.8","2725.7","10.6","19.2","8.5"
"15-19","2005/01/01","3045.4","376.8","302.1","74.7","2668.6","12.4","19.8","9.9"
"15-19","2005/02/01","3045.4","300.4","259.5","40.9","2745.1","9.9","13.6","8.5"
"15-19","2005/03/01","3045.2","262.6","224.3","38.3","2782.6","8.6","14.6","7.4"
"15-19","2005/04/01","3044.9","266.3","238.4","27.9","2778.6","8.7","10.5","7.8"
"15-19","2005/05/01","3044.7","271","243.2","27.8","2773.7","8.9","10.3","8"
"15-19","2005/06/01","3044.6","274.3","234.6","39.7","2770.4","9","14.5","7.7"
"15-19","2005/07/01","3045.2","363.7","310.9","52.8","2681.5","11.9","14.5","10.2"
"15-19","2005/08/01","3045.6","289.1","266.4","22.7","2756.5","9.5","7.9","8.7"
"15-19","2005/09/01","3046","230.7","213.3","17.4","2815.3","7.6","7.5","7"
"15-19","2005/10/01","3046.3","215.7","199.1","16.6","2830.6","7.1","7.7","6.5"
"15-19","2005/11/01","3046.8","215.4","198.6","16.8","2831.4","7.1","7.8","6.5"
"15-19","2005/12/01","3046.9","265.7","225.8","39.9","2781.2","8.7","15","7.4"
"15-19","2006/01/01","3056.9","319.5","280.1","39.5","2737.3","10.5","12.4","9.2"
"15-19","2006/02/01","3066.9","285.8","253.8","32","2781.1","9.3","11.2","8.3"
"15-19","2006/03/01","3077.1","213.1","195.4","17.7","2864","6.9","8.3","6.4"
"15-19","2006/04/01","3087","209.3","194.6","14.7","2877.6","6.8","7","6.3"
"15-19","2006/05/01","3096.9","218","203.9","14","2878.9","7","6.4","6.6"
"15-19","2006/06/01","3106.7","232.6","201.5","31.1","2874.1","7.5","13.4","6.5"
"15-19","2006/07/01","3111.8","307.3","274.7","32.5","2804.5","9.9","10.6","8.8"
"15-19","2006/08/01","3116","234.4","220.8","13.6","2881.6","7.5","5.8","7.1"
"15-19","2006/09/01","3119.8","179.7","164.5","15.3","2940.1","5.8","8.5","5.3"
"15-19","2006/10/01","3123.7","182.3","157.3","24.9","2941.4","5.8","13.7","5"
"15-19","2006/11/01","3127.5","189.6","168.4","21.2","2937.9","6.1","11.2","5.4"
"15-19","2006/12/01","3130.9","231.5","195.7","35.9","2899.4","7.4","15.5","6.3"
"15-19","2007/01/01","3145.4","303.9","275.7","28.2","2841.5","9.7","9.3","8.8"
"15-19","2007/02/01","3160.2","274.7","246.3","28.3","2885.5","8.7","10.3","7.8"
"15-19","2007/03/01","3174.4","189.9","172.7","17.3","2984.5","6","9.1","5.4"
"15-19","2007/04/01","3190.5","198.6","183","15.6","2991.9","6.2","7.9","5.7"
"15-19","2007/05/01","3204.8","208.8","195.9","12.9","2996","6.5","6.2","6.1"
"15-19","2007/06/01","3217.9","232.1","212.7","19.4","2985.8","7.2","8.4","6.6"
"15-19","2007/07/01","3219.1","309.4","267.5","41.9","2909.7","9.6","13.5","8.3"
"15-19","2007/08/01","3220.4","267.8","243","24.8","2952.6","8.3","9.3","7.5"
"15-19","2007/09/01","3221.6","200.4","185","15.4","3021.2","6.2","7.7","5.7"
"15-19","2007/10/01","3223.1","186.9","173.3","13.6","3036.2","5.8","7.3","5.4"
"15-19","2007/11/01","3224.3","196","179.3","16.8","3028.3","6.1","8.6","5.6"
"15-19","2007/12/01","3225.4","218","192.3","25.7","3007.4","6.8","11.8","6"
"15-19","2008/01/01","3219.6","279.3","248.3","31.1","2940.2","8.7","11.1","7.7"
"15-19","2008/02/01","3223.9","225.7","209.2","16.5","2998.2","7","7.3","6.5"
"15-19","2008/03/01","3228","188.3","177.1","11.1","3039.7","5.8","5.9","5.5"
"15-19","2008/04/01","3232.2","204.8","188.6","16.1","3027.4","6.3","7.9","5.8"
"15-19","2008/05/01","3236.4","216.7","204.3","12.4","3019.8","6.7","5.7","6.3"
"15-19","2008/06/01","3240.9","223.9","188.7","35.2","3016.9","6.9","15.7","5.8"
"15-19","2008/07/01","3242.5","281.5","246.5","35.1","2961","8.7","12.5","7.6"
"15-19","2008/08/01","3243.7","250.7","229","21.7","2993","7.7","8.7","7.1"
"15-19","2008/09/01","3244.8","165.4","150.9","14.6","3079.4","5.1","8.8","4.7"
"15-19","2008/10/01","3245.9","150.4","141","9.4","3095.5","4.6","6.3","4.3"
"15-19","2008/11/01","3247.4","148.8","131.4","17.5","3098.6","4.6","11.8","4"
"15-19","2008/12/01","3248.7","203.5","164.9","38.6","3045.2","6.3","19","5.1"
"15-19","2009/01/01","3255.5","249.7","207.8","41.9","3005.8","7.7","16.8","6.4"
"15-19","2009/02/01","3260.1","208.9","184.6","24.3","3051.2","6.4","11.6","5.7"
"15-19","2009/03/01","3265","159.5","140.4","19.1","3105.5","4.9","12","4.3"
"15-19","2009/04/01","3270.3","173.8","157.1","16.7","3096.4","5.3","9.6","4.8"
"15-19","2009/05/01","3276.4","184.4","170.1","14.2","3092","5.6","7.7","5.2"
"15-19","2009/06/01","3282.5","209.4","169.8","39.6","3073.2","6.4","18.9","5.2"
"15-19","2009/07/01","3288.3","272.9","229.7","43.2","3015.4","8.3","15.8","7"
"15-19","2009/08/01","3293.6","235.6","213.2","22.4","3058","7.2","9.5","6.5"
"15-19","2009/09/01","3297.9","165.8","157.6","8.2","3132.1","5","4.9","4.8"
"15-19","2009/10/01","3302.4","156.7","144.2","12.5","3145.7","4.7","8","4.4"
"15-19","2009/11/01","3307.4","187.3","162","25.3","3120","5.7","13.5","4.9"
"15-19","2009/12/01","3312.3","226.2","195.4","30.8","3086.1","6.8","13.6","5.9"
"15-19","2010/01/01","3319.2","303.5","246.9","56.6","3015.8","9.1","18.6","7.4"
"15-19","2010/02/01","3323.1","242.2","211.8","30.4","3080.9","7.3","12.6","6.4"
"15-19","2010/03/01","3327","186.4","163.8","22.6","3140.6","5.6","12.1","4.9"
"15-19","2010/04/01","3330.9","194.6","170.5","24.1","3136.3","5.8","12.4","5.1"
"15-19","2010/05/01","3335.5","224.1","206.5","17.6","3111.3","6.7","7.9","6.2"
"15-19","2010/06/01","3339.7","224.6","178.4","46.1","3115.2","6.7","20.5","5.3"
"15-19","2010/07/01","3341.5","315.2","278.5","36.6","3026.4","9.4","11.6","8.3"
"15-19","2010/08/01","3342.7","243.8","230.2","13.7","3098.9","7.3","5.6","6.9"
"15-19","2010/09/01","3343.5","191.5","177.8","13.7","3152","5.7","7.2","5.3"
"15-19","2010/10/01","3344.4","192.5","181.4","11.1","3151.9","5.8","5.8","5.4"
"15-19","2010/11/01","3345.9","205.6","192.1","13.5","3140.3","6.1","6.6","5.7"
"15-19","2010/12/01","3347.9","259.3","215.3","44","3088.6","7.7","17","6.4"
"15-19","2011/01/01","3349.2","332","283.3","48.7","3017.2","9.9","14.7","8.5"
"15-19","2011/02/01","3349.9","278.6","246.8","31.9","3071.3","8.3","11.5","7.4"
"15-19","2011/03/01","3350.9","238.9","211.6","27.3","3112.1","7.1","11.4","6.3"
"15-19","2011/04/01","3351.6","216.7","198.4","18.3","3134.8","6.5","8.4","5.9"
"15-19","2011/05/01","3353.5","219.8","207.1","12.6","3133.7","6.6","5.7","6.2"
"15-19","2011/06/01","3353.6","238.9","209.3","29.6","3114.7","7.1","12.4","6.2"
"15-19","2011/07/01","3351.7","340.9","286.2","54.7","3010.8","10.2","16","8.5"
"15-19","2011/08/01","3349","272.6","251.5","21","3076.5","8.1","7.7","7.5"
"15-19","2011/09/01","3345.5","220.9","202.9","18","3124.6","6.6","8.1","6.1"
"15-19","2011/10/01","3342.5","218.2","201.1","17.1","3124.3","6.5","7.8","6"
"15-19","2011/11/01","3340.4","212.5","195.9","16.6","3127.9","6.4","7.8","5.9"
"15-19","2011/12/01","3340.5","260.6","227.8","32.8","3079.9","7.8","12.6","6.8"
"15-19","2012/01/01","3303.5","302","264","38","3001.5","9.1","12.6","8"
"15-19","2012/02/01","3303.4","265.3","240.9","24.3","3038.1","8","9.2","7.3"
"15-19","2012/03/01","3303","221.6","201.2","20.4","3081.4","6.7","9.2","6.1"
"15-19","2012/04/01","3302","238.9","223.4","15.5","3063.1","7.2","6.5","6.8"
"15-19","2012/05/01","3303","244.8","230.1","14.7","3058.3","7.4","6","7"
"15-19","2012/06/01","3301.6","237.1","214.1","22.9","3064.5","7.2","9.7","6.5"
"15-19","2012/07/01","3299.6","316.3","281.5","34.9","2983.3","9.6","11","8.5"
"15-19","2012/08/01","3297","284.5","267.8","16.7","3012.5","8.6","5.9","8.1"
"15-19","2012/09/01","3293.9","219","199.7","19.4","3074.8","6.6","8.9","6.1"
"15-19","2012/10/01","3290.9","216.9","202.6","14.3","3074","6.6","6.6","6.2"
"15-19","2012/11/01","3289.4","222.3","205.2","17","3067.2","6.8","7.6","6.2"
"15-19","2012/12/01","3291.5","264.9","235.1","29.8","3026.6","8","11.2","7.1"
"15-19","2013/01/01","3286.7","320.7","288.1","32.6","2966","9.8","10.2","8.8"
"15-19","2013/02/01","3284.3","287.6","259.2","28.4","2996.7","8.8","9.9","7.9"
"15-19","2013/03/01","3280.1","216.4","197.8","18.6","3063.7","6.6","8.6","6"
"15-19","2013/04/01","3276.6","207.5","180","27.5","3069.1","6.3","13.3","5.5"
"15-19","2013/05/01","3273.6","221.7","198.9","22.8","3051.9","6.8","10.3","6.1"
"15-19","2013/06/01","3271.2","226.6","203.3","23.3","3044.6","6.9","10.3","6.2"
"15-19","2013/07/01","3263","305.6","259.9","45.7","2957.4","9.4","15","8"
"15-19","2013/08/01","3256.1","265.2","243.8","21.4","2990.9","8.1","8.1","7.5"
"15-19","2013/09/01","3249.4","220.1","205.7","14.4","3029.3","6.8","6.5","6.3"
"15-19","2013/10/01","3242.6","222.3","207.8","14.5","3020.3","6.9","6.5","6.4"
"15-19","2013/11/01","3236.2","218.1","202","16.1","3018.1","6.7","7.4","6.2"
"15-19","2013/12/01","3229.7","285.4","241.7","43.7","2944.3","8.8","15.3","7.5"
"15-19","2014/01/01","3223.3","338.1","281.8","56.3","2885.2","10.5","16.7","8.7"
"15-19","2014/02/01","3217.8","314","281.2","32.7","2903.8","9.8","10.4","8.7"
"15-19","2014/03/01","3211.7","243.7","225.9","17.7","2968","7.6","7.3","7"
"15-19","2014/04/01","3205.7","241.7","222.2","19.5","2964","7.5","8.1","6.9"
"15-19","2014/05/01","3200","244.8","232.4","12.4","2955.2","7.7","5.1","7.3"
"15-19","2014/06/01","3194.2","256.8","234.6","22.1","2937.4","8","8.6","7.3"
"15-19","2014/07/01","3185.9","315.8","282.5","33.3","2870.1","9.9","10.5","8.9"
"15-19","2014/08/01","3178.5","296.1","274.6","21.5","2882.4","9.3","7.3","8.6"
"15-19","2014/09/01","3170.4","245.9","231","14.9","2924.6","7.8","6.1","7.3"
"15-19","2014/10/01","3161.8","228.5","214.4","14.1","2933.3","7.2","6.2","6.8"
"15-19","2014/11/01","3154.1","222.1","207.1","15","2932","7","6.8","6.6"
"15-19","2014/12/01","3146.1","282.2","244.1","38.1","2863.8","9","13.5","7.8"
"15-19","2015/01/01","3142.7","315.9","282.3","33.6","2826.8","10.1","10.6","9"
"15-19","2015/02/01","3139.9","302.3","267.4","34.9","2837.6","9.6","11.5","8.5"
"15-19","2015/03/01","3136.4","248","220.6","27.4","2888.5","7.9","11","7"
"15-19","2015/04/01","3133.4","251.3","228.8","22.6","2882.1","8","9","7.3"
"15-19","2015/05/01","3130.2","265.5","247.6","18","2864.6","8.5","6.8","7.9"
"15-19","2015/06/01","3126.9","274.9","233","41.9","2852.1","8.8","15.2","7.5"
"15-19","2015/07/01","3116.1","328.7","279.8","48.8","2787.4","10.5","14.8","9"
"15-19","2015/08/01","3105.4","301.3","270.7","30.6","2804.1","9.7","10.2","8.7"
"15-19","2015/09/01","3095","246.4","224","22.4","2848.6","8","9.1","7.2"
"15-19","2015/10/01","3084.1","239.9","220.2","19.7","2844.1","7.8","8.2","7.1"
"15-19","2015/11/01","3073.3","234.7","217.6","17.1","2838.7","7.6","7.3","7.1"
"15-19","2015/12/01","3062.9","273.7","243.5","30.2","2789.3","8.9","11","7.9"
"15-19","2016/01/01","3054.3","289.5","260","29.5","2764.8","9.5","10.2","8.5"
"15-19","2016/02/01","3047","306.6","267.1","39.5","2740.3","10.1","12.9","8.8"
"15-19","2016/03/01","3040.2","260.6","222.5","38.1","2779.6","8.6","14.6","7.3"
"15-19","2016/04/01","3032.8","254.2","224.7","29.6","2778.5","8.4","11.6","7.4"
"15-19","2016/05/01","3025.9","257.3","229.8","27.5","2768.6","8.5","10.7","7.6"
"15-19","2016/06/01","3018.3","257.5","232.9","24.6","2760.8","8.5","9.6","7.7"
"15-19","2016/07/01","3005.6","302.7","277.6","25.1","2702.8","10.1","8.3","9.2"
"15-19","2016/08/01","2993.1","297.1","272.6","24.5","2696","9.9","8.2","9.1"
"15-19","2016/09/01","2980.8","237.5","219.5","18","2743.2","8","7.6","7.4"
"15-19","2016/10/01","2968.5","232.6","210.8","21.8","2735.8","7.8","9.4","7.1"
"20-29","1999/06/01","7537","4881","4380","502","2656","64.8","10.3","58.1"
"20-29","1999/07/01","7534","4901","4400","501","2633","65.1","10.2","58.4"
"20-29","1999/08/01","7528","4840","4358","481","2689","64.3","9.9","57.9"
"20-29","1999/09/01","7521","4849","4440","409","2672","64.5","8.4","59"
"20-29","1999/10/01","7516","4842","4445","397","2673","64.4","8.2","59.1"
"20-29","1999/11/01","7505","4848","4443","406","2657","64.6","8.4","59.2"
"20-29","1999/12/01","7500","4906","4447","460","2593","65.4","9.4","59.3"
"20-29","2000/01/01","7498","4915","4419","496","2584","65.6","10.1","58.9"
"20-29","2000/02/01","7489","4911","4441","470","2578","65.6","9.6","59.3"
"20-29","2000/03/01","7479","4850","4434","416","2629","64.8","8.6","59.3"
"20-29","2000/04/01","7472","4845","4471","374","2628","64.8","7.7","59.8"
"20-29","2000/05/01","7472","4853","4512","341","2619","64.9","7","60.4"
"20-29","2000/06/01","7468","4824","4507","318","2643","64.6","6.6","60.4"
"20-29","2000/07/01","7471","4907","4585","323","2564","65.7","6.6","61.4"
"20-29","2000/08/01","7472","4820","4494","327","2652","64.5","6.8","60.1"
"20-29","2000/09/01","7473","4807","4490","317","2666","64.3","6.6","60.1"
"20-29","2000/10/01","7469","4828","4520","307","2641","64.6","6.4","60.5"
"20-29","2000/11/01","7463","4840","4521","319","2623","64.9","6.6","60.6"
"20-29","2000/12/01","7463","4846","4486","360","2617","64.9","7.4","60.1"
"20-29","2001/01/01","7440","4857","4451","406","2583","65.3","8.4","59.8"
"20-29","2001/02/01","7430","4827","4393","433","2604","65","9","59.1"
"20-29","2001/03/01","7421","4795","4379","416","2627","64.6","8.7","59"
"20-29","2001/04/01","7411","4820","4473","347","2591","65","7.2","60.4"
"20-29","2001/05/01","7405","4832","4497","335","2573","65.3","6.9","60.7"
"20-29","2001/06/01","7403","4829","4502","327","2574","65.2","6.8","60.8"
"20-29","2001/07/01","7401","4869","4550","319","2532","65.8","6.6","61.5"
"20-29","2001/08/01","7397","4760","4443","318","2636","64.4","6.7","60.1"
"20-29","2001/09/01","7386","4754","4452","302","2632","64.4","6.4","60.3"
"20-29","2001/10/01","7378","4738","4428","310","2640","64.2","6.5","60"
"20-29","2001/11/01","7373","4813","4466","347","2560","65.3","7.2","60.6"
"20-29","2001/12/01","7363","4823","4449","374","2540","65.5","7.8","60.4"
"20-29","2002/01/01","7362","4870","4461","408","2492","66.2","8.4","60.6"
"20-29","2002/02/01","7356","4868","4480","388","2488","66.2","8","60.9"
"20-29","2002/03/01","7348","4818","4462","357","2530","65.6","7.4","60.7"
"20-29","2002/04/01","7339","4856","4530","326","2483","66.2","6.7","61.7"
"20-29","2002/05/01","7329","4842","4538","304","2487","66.1","6.3","61.9"
"20-29","2002/06/01","7322","4806","4517","289","2517","65.6","6","61.7"
"20-29","2002/07/01","7316","4861","4556","305","2454","66.4","6.3","62.3"
"20-29","2002/08/01","7305","4741","4447","293","2564","64.9","6.2","60.9"
"20-29","2002/09/01","7292","4717","4452","265","2574","64.7","5.6","61.1"
"20-29","2002/10/01","7285","4724","4438","286","2561","64.8","6.1","60.9"
"20-29","2002/11/01","7270","4758","4476","282","2512","65.4","5.9","61.6"
"20-29","2002/12/01","7260","4795","4476","319","2465","66","6.7","61.7"
"20-29","2003/01/01","7254.3","4755.8","4356.4","399.4","2498.6","65.6","8.4","60.1"
"20-29","2003/02/01","7245.9","4770.2","4352.1","418","2475.7","65.8","8.8","60.1"
"20-29","2003/03/01","7236.9","4722.4","4335.3","387.1","2514.5","65.3","8.2","59.9"
"20-29","2003/04/01","7230.7","4689.7","4337.6","352.1","2541","64.9","7.5","60"
"20-29","2003/05/01","7225.9","4692.2","4342.2","350","2533.7","64.9","7.5","60.1"
"20-29","2003/06/01","7213.9","4687.8","4350.5","337.4","2526.1","65","7.2","60.3"
"20-29","2003/07/01","7206.7","4785.7","4438.6","347.1","2421","66.4","7.3","61.6"
"20-29","2003/08/01","7190.7","4653.8","4316.4","337.4","2536.9","64.7","7.2","60"
"20-29","2003/09/01","7177","4584.5","4276.6","307.9","2592.5","63.9","6.7","59.6"
"20-29","2003/10/01","7164.7","4625.1","4293","332.1","2539.7","64.6","7.2","59.9"
"20-29","2003/11/01","7149.8","4656","4294.9","361.1","2493.8","65.1","7.8","60.1"
"20-29","2003/12/01","7138","4711.8","4319.1","392.7","2426.2","66","8.3","60.5"
"20-29","2004/01/01","7133.4","4730.2","4320.5","409.7","2403.2","66.3","8.7","60.6"
"20-29","2004/02/01","7121.9","4743.4","4310.5","432.9","2378.6","66.6","9.1","60.5"
"20-29","2004/03/01","7110.4","4721.7","4312.1","409.7","2388.7","66.4","8.7","60.6"
"20-29","2004/04/01","7098.1","4704.6","4338.3","366.2","2393.6","66.3","7.8","61.1"
"20-29","2004/05/01","7086.3","4740.4","4362.2","378.3","2345.8","66.9","8","61.6"
"20-29","2004/06/01","7078.5","4708.5","4360.7","347.8","2370","66.5","7.4","61.6"
"20-29","2004/07/01","7071.4","4752.6","4406","346.6","2318.8","67.2","7.3","62.3"
"20-29","2004/08/01","7058.4","4567.6","4226.6","341","2490.8","64.7","7.5","59.9"
"20-29","2004/09/01","7044.5","4629.6","4307","322.6","2414.9","65.7","7","61.1"
"20-29","2004/10/01","7030.8","4654","4307.3","346.7","2376.8","66.2","7.4","61.3"
"20-29","2004/11/01","7013.6","4664.4","4315.6","348.8","2349.3","66.5","7.5","61.5"
"20-29","2004/12/01","6995.5","4656.2","4274.3","382","2339.2","66.6","8.2","61.1"
"20-29","2005/01/01","6973.7","4630.8","4242.1","388.7","2342.9","66.4","8.4","60.8"
"20-29","2005/02/01","6952.9","4662.3","4254.6","407.7","2290.6","67.1","8.7","61.2"
"20-29","2005/03/01","6928.8","4631.7","4239.4","392.2","2297.1","66.8","8.5","61.2"
"20-29","2005/04/01","6904.5","4588","4219.8","368.1","2316.5","66.4","8","61.1"
"20-29","2005/05/01","6881.3","4587.3","4255.5","331.9","2294","66.7","7.2","61.8"
"20-29","2005/06/01","6859.9","4577.1","4240.4","336.7","2282.9","66.7","7.4","61.8"
"20-29","2005/07/01","6852.4","4639.9","4277.2","362.7","2212.5","67.7","7.8","62.4"
"20-29","2005/08/01","6845.6","4479.5","4148.4","331","2366.1","65.4","7.4","60.6"
"20-29","2005/09/01","6837.4","4455.5","4137.5","318","2381.9","65.2","7.1","60.5"
"20-29","2005/10/01","6827.2","4502.5","4179.1","323.5","2324.6","65.9","7.2","61.2"
"20-29","2005/11/01","6818.9","4483.4","4156.5","326.9","2335.5","65.7","7.3","61"
"20-29","2005/12/01","6805.9","4464.2","4128.2","336","2341.7","65.6","7.5","60.7"
"20-29","2006/01/01","6793.5","4489","4145.1","344","2304.5","66.1","7.7","61"
"20-29","2006/02/01","6778.4","4431.1","4053","378.1","2347.3","65.4","8.5","59.8"
"20-29","2006/03/01","6761.8","4429.3","4054.1","375.1","2332.5","65.5","8.5","60"
"20-29","2006/04/01","6749.2","4422.5","4068.5","354","2326.7","65.5","8","60.3"
"20-29","2006/05/01","6738.3","4404.1","4088","316","2334.3","65.4","7.2","60.7"
"20-29","2006/06/01","6727.9","4393.6","4056.1","337.5","2334.2","65.3","7.7","60.3"
"20-29","2006/07/01","6731.7","4476.2","4125.6","350.6","2255.5","66.5","7.8","61.3"
"20-29","2006/08/01","6731.5","4352.5","4028.8","323.7","2379","64.7","7.4","59.8"
"20-29","2006/09/01","6726.7","4338.6","4026.1","312.5","2388.2","64.5","7.2","59.9"
"20-29","2006/10/01","6724.9","4345.5","4006.8","338.7","2379.4","64.6","7.8","59.6"
"20-29","2006/11/01","6717.3","4360.1","4038.3","321.9","2357.2","64.9","7.4","60.1"
"20-29","2006/12/01","6710.9","4364.2","4038.5","325.7","2346.7","65","7.5","60.2"
"20-29","2007/01/01","6702.2","4370","4052.2","317.9","2332.2","65.2","7.3","60.5"
"20-29","2007/02/01","6688.5","4322.8","3992.4","330.4","2365.7","64.6","7.6","59.7"
"20-29","2007/03/01","6678.2","4289","3972.4","316.6","2389.2","64.2","7.4","59.5"
"20-29","2007/04/01","6664","4317.3","3987.7","329.5","2346.8","64.8","7.6","59.8"
"20-29","2007/05/01","6658.1","4331.3","4026.3","305","2326.8","65.1","7","60.5"
"20-29","2007/06/01","6654","4315.7","4007","308.8","2338.3","64.9","7.2","60.2"
"20-29","2007/07/01","6647.2","4387.3","4073.5","313.8","2259.9","66","7.2","61.3"
"20-29","2007/08/01","6640.3","4244.3","3966.7","277.6","2396","63.9","6.5","59.7"
"20-29","2007/09/01","6633.4","4210.7","3918.5","292.2","2422.7","63.5","6.9","59.1"
"20-29","2007/10/01","6630.2","4259.4","3983","276.4","2370.8","64.2","6.5","60.1"
"20-29","2007/11/01","6622.1","4305.5","4001.1","304.5","2316.5","65","7.1","60.4"
"20-29","2007/12/01","6614","4219.5","3921","298.5","2394.5","63.8","7.1","59.3"
"20-29","2008/01/01","6626","4261.7","3968.6","293.1","2364.2","64.3","6.9","59.9"
"20-29","2008/02/01","6616.4","4211.3","3901.7","309.7","2405.1","63.6","7.4","59"
"20-29","2008/03/01","6605.2","4206.6","3885.2","321.5","2398.5","63.7","7.6","58.8"
"20-29","2008/04/01","6594.3","4215.7","3902.3","313.4","2378.6","63.9","7.4","59.2"
"20-29","2008/05/01","6584.3","4244.1","3950","294.1","2340.2","64.5","6.9","60"
"20-29","2008/06/01","6575.5","4228.7","3917.5","311.2","2346.8","64.3","7.4","59.6"
